vacancy name,vacancy link,salary,suite_info,city
Программист-разработчик (python),https://hh.ru/vacancy/37674249?query=Python,"{'minimum': 100000, 'maximum': 180000, 'currency': 'руб.'}", CATAPULTO.RU,Москва
Machine Learning Developer,https://hh.ru/vacancy/37844601?query=Python,нет сведений о заработной плате, HeadHunter::Analytics/Data Science,"Москва, Алексеевская"
Junior Python developer,https://hh.ru/vacancy/38814959?query=Python,"{'minimum': 80000, 'maximum': 140000, 'currency': 'руб.'}",ООО Константа,"Москва, Красносельская"
Junior Python (Django),https://hh.ru/vacancy/39110303?query=Python,"{'minimum': 'нет сведений', 'maximum': 70000, 'currency': 'руб.'}", ДиВиЕР,Москва
Программист Python,https://hh.ru/vacancy/38660476?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО КИБЕРБОРЕЯ,Москва
Python-Разработчик (удаленно),https://hh.ru/vacancy/38624353?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}", BestDoctor,Москва
Python разработчик,https://hh.ru/vacancy/39085104?query=Python,"{'minimum': 100000, 'maximum': 120000, 'currency': 'руб.'}",ООО Энтропия,Москва
Программист Python,https://hh.ru/vacancy/39053902?query=Python,"{'minimum': 125000, 'maximum': 180000, 'currency': 'руб.'}", Creative,Москва
Программист Python,https://hh.ru/vacancy/39038710?query=Python,"{'minimum': 120000, 'maximum': 220000, 'currency': 'руб.'}", Insilico Medicine,Москва
Разработчик Python,https://hh.ru/vacancy/39108864?query=Python,"{'minimum': 150000, 'maximum': 170000, 'currency': 'руб.'}", Йенго РУ,Москва
Программист Python,https://hh.ru/vacancy/39022354?query=Python,"{'minimum': 35000, 'maximum': 60000, 'currency': 'руб.'}", Smit&Co,Москва
Программист (Back-end) Python,https://hh.ru/vacancy/39138858?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО Национальный Цифровой Агрегатор,Москва
Python - Software Engineer,https://hh.ru/vacancy/38715377?query=Python,"{'minimum': 2500, 'maximum': 4000, 'currency': 'USD'}", Particle.One,Москва
Python Data Scientist,https://hh.ru/vacancy/38732890?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Web Interactive World,"Москва, Кузнецкий мост и еще 3 "
Программист-разработчик Python/Django,https://hh.ru/vacancy/38815968?query=Python,"{'minimum': 80000, 'maximum': 120000, 'currency': 'руб.'}", Printum,Москва
"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39137779?query=Python,"{'minimum': 60000, 'maximum': 150000, 'currency': 'руб.'}",ООО Фабрика Решений,Москва
"Программист-разработчик Python/Django (frontend, backend)",https://hh.ru/vacancy/39069137?query=Python,"{'minimum': 100000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Consul Group,Москва
Python разработчик,https://hh.ru/vacancy/37486302?query=Python,"{'minimum': 130000, 'maximum': 220000, 'currency': 'руб.'}",АО Семейный доктор,"Москва, Баррикадная и еще 1 "
Программист Python,https://hh.ru/vacancy/39126632?query=Python,"{'minimum': 100000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО Пилот Диалог,"Москва, Волгоградский проспект"
Разработчик Python,https://hh.ru/vacancy/38518160?query=Python,нет сведений о заработной плате, КРОК,"Москва, Площадь Ильича и еще 1 "
Senior Python Developer,https://hh.ru/vacancy/38823396?query=Python,"{'minimum': 230000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Ассоциация IPChain,"Москва, Савеловская"
"Backend-разработчик (Python, Django)",https://hh.ru/vacancy/38923809?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Lightman Solutions,Москва
Программист Python (Senior) remote,https://hh.ru/vacancy/38777732?query=Python,"{'minimum': 2500, 'maximum': 5500, 'currency': 'USD'}",ООО ЦИФРА,Москва
Team Lead (Python/Django 3),https://hh.ru/vacancy/39063576?query=Python,"{'minimum': 240000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО Джи Эф Си,"Москва, Улица 1905 года"
Python developer,https://hh.ru/vacancy/36267171?query=Python,"{'minimum': 150000, 'maximum': 200000, 'currency': 'руб.'}", B2Broker Москва,"Москва, Выставочная и еще 2 "
